epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,2.675537,0.850729,2.61342,0.84141,
002,2.581166,0.835206,2.57703,0.83479,
003,2.549424,0.827370,2.55346,0.82472,
004,2.527753,0.820708,2.51744,0.81748,
005,2.509314,0.814731,2.54075,0.81918,
006,2.489954,0.809493,2.56566,0.82137,
007,2.473784,0.803125,2.59326,0.82348,
008,2.459459,0.799456,2.51096,0.81069,
009,2.446796,0.795420,2.46824,0.79851,
010,2.435460,0.793018,2.47248,0.80183,
011,2.423929,0.788927,2.53980,0.81103,
012,2.413599,0.784803,2.50390,0.80530,
013,2.406187,0.782150,2.47842,0.79776,
014,2.399491,0.780873,2.48853,0.80239,
015,2.392609,0.778799,2.45479,0.79570,
016,2.386156,0.777756,2.45606,0.79332,
017,2.379637,0.774162,2.49802,0.80188,
018,2.377097,0.774796,2.43362,0.78849,
019,2.371106,0.772409,2.41685,0.78424,
020,2.368119,0.771124,2.45107,0.78718,
021,2.362776,0.770050,2.50524,0.78626,
022,2.359472,0.768600,2.45697,0.79147,
023,2.355057,0.767011,2.51096,0.79174,
024,2.353639,0.767336,2.48902,0.79349,
025,2.044017,0.679503,2.02554,0.67197,
026,1.882672,0.630562,1.95234,0.65045,
027,1.802374,0.605107,1.92862,0.64101,
028,1.751007,0.588826,1.91745,0.63643,
029,1.712368,0.576023,1.87936,0.62342,
030,1.680630,0.566107,1.84197,0.61272,
031,1.653687,0.557215,1.84623,0.61092,
032,1.626353,0.548636,1.83748,0.60956,
033,1.603473,0.540725,1.81539,0.60411,
034,1.578582,0.533896,1.84203,0.60884,
035,1.559124,0.527782,1.80807,0.59663,
036,1.539385,0.521693,1.79000,0.59309,
037,1.518812,0.514103,1.77104,0.58448,
038,1.189511,0.399108,1.50235,0.49938,
039,1.056956,0.357266,1.47709,0.48873,
040,0.993173,0.337967,1.47572,0.48310,
041,0.944163,0.321222,1.46379,0.47504,
042,0.906436,0.309419,1.46177,0.47179,
043,0.875261,0.300073,1.46371,0.47053,
044,0.845587,0.290612,1.46351,0.46510,
045,0.819830,0.281978,1.47070,0.46524,
046,0.796324,0.273284,1.47934,0.46306,
047,0.777022,0.268547,1.47988,0.46100,
048,0.754878,0.259862,1.49417,0.46007,
049,0.737254,0.254595,1.50541,0.46112,
050,0.720837,0.249810,1.53490,0.46403,
,,,,,0.46403
